game,release_year,genre,total_earnings_usd,offline_earnings_usd,percent_offline,total_players,total_tournaments,online_earnings_usd,offline_share,game_age_years
Dota 2,2013,Multiplayer Online Battle Arena,360461163.42,313554838.46,0.869871348927135,4980,1934,46906324.96000004,0.8698713489271354,12
Fortnite,2017,Battle Royale,191012698.69,56299884.57,0.294744197407371,9535,2291,134712814.12,0.2947441974073708,8
Counter-Strike: Global Offensive,2012,First-Person Shooter,162489706.76,105130836.17,0.646999974744739,16518,7033,57358870.58999999,0.6469999747447388,13
League of Legends,2009,Multiplayer Online Battle Arena,113596024.63,98546688.28,0.867518811516353,9588,3000,15049336.349999994,0.8675188115163533,16
Arena of Valor,2015,Multiplayer Online Battle Arena,98746138.92,94528965.41,0.957292775635343,2231,179,4217173.510000005,0.9572927756353432,10
PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,2017,Battle Royale,87322954.82,60665002.37,0.694719990809399,4263,341,26657952.449999996,0.6947199908093994,8
PLAYERUNKNOWN’S BATTLEGROUNDS,2017,Battle Royale,64200450.19,49370328.97,0.769002846925364,3967,631,14830121.219999999,0.7690028469253636,8
Rainbow Six Siege,2015,First-Person Shooter,48130526.59,37241404.36,0.773758506264454,3070,568,10889122.230000004,0.7737585062644542,10
StarCraft II,2010,Strategy,42692707.57,33672991.36,0.788729346921578,2280,7510,9019716.21,0.7887293469215778,15
Rocket League,2015,Sports,42262497.19,17816799.61,0.421574700848859,6884,4542,24445697.58,0.4215747008488592,10
Overwatch,2016,First-Person Shooter,35259225.38,18840032.08,0.534329154340599,4047,847,16419193.300000004,0.5343291543405994,9
VALORANT,2020,First-Person Shooter,32018215.37,19298867.52,0.602746508416656,7465,1316,12719347.850000001,0.6027465084166557,5
Hearthstone,2014,Collectible Card Game,30708754.65,18315099.29,0.596412961018593,3147,1162,12393655.36,0.5964129610185934,11
Apex Legends,2019,Battle Royale,26153237.01,13376299.25,0.511458648307489,2317,731,12776937.760000002,0.5114586483074891,6
CrossFire,2007,First-Person Shooter,25128357.96,21774364.07,0.866525544751512,1140,405,3353993.8900000006,0.8665255447515122,18
Counter-Strike 2,2023,First-Person Shooter,21155138.09,14444777.21,0.682802312542125,2731,424,6710360.879999999,0.6828023125421253,2
